z_over_D,dilution
13.181494235992174,4.005380578561047
13.261601860091256,4.023645114734549
13.342074775112314,4.041992937203103
13.422914646784143,4.060424425752351
13.504123148431296,4.078939961899762
13.585701961008708,4.097539928902526
13.667652773136506,4.116224711765486
13.749977281134957,4.134994697249119
13.832677189059577,4.153850273877514
13.915754208736407,4.172791831946445
13.99921005979745,4.191819763531438
14.083046469716262,4.210934462495876
14.167265173843713,4.230136324499168
14.251867915443908,4.2494257470049295
14.33685644573027,4.268803129289212
14.422232523901787,4.288268872448774
14.507997917179436,4.307823379409367
14.594154400842754,4.327467054934095
14.68070375826659,4.347200305631779
14.767647780958017,4.367023539965379
14.85498826859342,4.386937168260454
14.94272702905575,4.406941602713643
15.030865878471932,4.427037257401207
15.119406641250482,4.447224548287598
15.208351150119247,4.467503893234069
15.29770124616336,4.487875712007315
15.387458778863342,4.508340426288183
15.477625606133383,4.528898459680376
15.568203594359806,4.54955023771924
15.6591946184397,4.570296187880561
15.750600561819724,4.591136739589416
15.842423316535097,4.612072324229068
15.934664783248769,4.633103375149884
16.02732687129075,4.654230327678317
16.120411498697646,4.6754536191259115
16.213920592252354,4.696773688798351
16.307856087523945,4.718190978004559
16.402219928907734,4.739705930065832
16.49701406966553,4.761318990325012
16.592240471966054,4.783030606155706
16.68790110692558,4.804841226971554
16.78399795464871,4.826751304235518
16.880533004269388,4.84876129146924
16.977508253992042,4.8708716442624205
17.074925711132977,4.893082820282255
17.172787392161904,4.915395279282898
17.2710953227437,4.937809483115002
17.36985153778032,4.960325895735241
17.46905808145293,4.98294498321595
17.568717007264215,5.005667213754755
17.66883037808089,5.028493057684259
17.769400266176408,5.0514229874817955
17.870428753273828,5.074457477779191
17.97191793058894,5.097597005372599
18.073869898873536,5.120842049232372
18.176286768458894,5.14419309051296
18.27917065929946,5.167650612562895
18.38252370101674,5.1912151009347705
18.48634803294338,5.214887043395312
18.590645804167437,5.238666929935459
18.69541917357688,5.2625552527805155
18.800670309904277,5.286552506400344
18.906401391771666,5.310659187519582
19.012614607735696,5.334875795127946
19.119312156332878,5.359202830490542
19.22649624612513,5.383640797158252
19.33416909574548,5.408190200978156
19.442332933944,5.432851550104006
19.550989999633927,5.457625355006732
19.66014254193801,5.482512128485014
19.769792820235093,5.507512385675902
19.879943104206838,5.532626644065484
19.990595673884744,5.557855423499576
20.10175281969734,5.583199246194503
20.213416842517564,5.6086586367479
20.32559005371043,5.634234122149574
20.438274775180865,5.65992623179241
20.55147333942174,5.685735497483325
20.665188089562193,5.711662453454286
20.779421379416117,5.737707636373361
20.89417557353087,5.763871585355834
21.009453047236235,5.790154841975352
21.125256186693594,5.816557950275151
21.241587388945305,5.843081456779303
21.358449061964336,5.869725910504045
21.47584362470409,5.896491862969121
21.593773507148512,5.923379868209221
21.712241150362342,5.95039048278544
21.831249006541686,5.977524265796785
21.950799539064754,6.004781778891778
22.070895222542866,6.032163586280049
22.19153854287166,6.05967025474404
22.312731997282558,6.087302353650723
22.434478094394464,6.115060454963389
22.556779354265686,6.14294513325349
22.6796383084461,6.170956965712533
22.803057500029556,6.199096532164021
22.927039483706515,6.227364415075461
23.051586825816944,6.255761199570417
23.17670210440343,6.2842874734406236
23.30238790926453,6.312943827158152
23.42864684200842,6.341730853887639
23.555481516106706,6.370649149498555
23.682894556948543,6.399699312577538
23.810888601894984,6.428881944440799
23.939466300333567,6.458197649146548
24.06863031373316,6.487647033507515
24.198383315699044,6.517230707103502
24.328727992028274,6.5469492822939985
24.459667040765254,6.576803374230874
24.591203172257615,6.60679360087108
24.723339109212287,6.6369205829894735
24.856077586751887,6.667184944191653
24.989421352471318,6.697587310926861
25.12337316649465,6.7281283125009566
25.25793580153226,6.758808581089451
25.39311204293822,6.789628751750574
25.528904688767966,6.820589462438434
25.6653165498362,6.851691354016218
25.802350449775076,6.882935070269472
25.94000922509268,6.914321257919389
26.07829572523171,6.945850566636239
26.217212812628468,6.977523649052786
26.35676336277213,7.009341160777822
26.496950264264253,7.041303760409708
26.637776418878573,7.073412109550043
26.779244741621074,7.105666872817325
26.92135816079033,7.138068717860725
27.064119618038116,7.170618315373906
27.207532068430314,7.203316339108906
27.351598480508066,7.236163465890089
27.49632183634924,7.269160375628129
27.641705131630133,7.302307751334128
27.787751375687524,7.335606279133712
27.934463591580943,7.369056648281262
28.081844816155233,7.402659551174155
28.229898100103455,7.4364156833671355
28.37862650803,7.47032574358667
28.528033118514045,7.504390433745437
28.678121024173283,7.538610458956847
28.82889333172793,7.572986527549638
28.980353162065047,7.607519351082552
29.13250365030314,7.642209644359029
29.285347945857048,7.677058125442038
29.438889212503152,7.712065515668936
29.593130628444857,7.747232539666378
29.748075386378385,7.782559925365338
29.903726693558866,7.818048404016159
30.060087771866726,7.853698710203715
30.21716185787439,7.889511581862588
30.374952202913263,7.925487760292353
30.533462073141056,7.961627990172944
30.69269474960938,7.997933019580027
30.852653528331675,8.03440360000052
31.013341720351438,8.071040486348133
31.174762651810752,8.107844436979008
31.336919664019156,8.144816213707383
31.4998161135228,8.181956581821408
31.663455372173928,8.21926631009895
31.827840827200685,8.256746170823522
31.99297588127723,8.294396939800261
32.15886395259417,8.332219396372002
32.32550847492932,8.370214323435395
32.492912897718796,8.408382507457109
32.6610806861284,8.446724738490126
32.83001532112535,8.48524181019008
32.99972029955039,8.523934519831704
33.170199134190085,8.562803668325305
33.341455353849625,8.601850060233378
33.51349250342582,8.641074503787225
33.686314143980525,8.6804778109037
33.85992385281429,8.720060797202034
34.03432522354049,8.75982428202069
34.20952186615966,8.799769088434319
34.385517407134266,8.839896043270844
34.56231548946372,8.88020597712851
34.739919772759855,8.920699724393138
34.918333933322636,8.961378123255349
35.097561664216286,9.002242015727942
35.27760667534574,9.04329224766331
35.45847269353341,9.084529668770962
35.64016346259638,9.1259551326351
35.822682743423854,9.167569496732288
36.006034314055064,9.20937362244921
36.190221969757445,9.25136837510049
36.3752495231052,9.293554623946616
36.56112080405822,9.335933242211926
36.74783966004142,9.378505107102672
36.935409956024316,9.421271099825214
37.123835574601046,9.464232105604207
37.31312041607079,9.507389013700985
37.503268398518465,9.550742717431906
37.69428345789584,9.594294114186907
37.88616954810304,9.638044105448031
38.07893064107037,9.681993596808105
38.27257072684053,9.726143497989485
38.467093813651246,9.770494722862901
38.662503928018225,9.815048189466342
38.8588051148185,9.859804820024078
39.0560014373742,9.90476554096576
39.25409697753661,9.949931282945581
39.45309583577073,9.995302980861544
39.65300213124009,10.040881573874822
39.85382000189211,10.086668005429186
40.055553604543675,10.132663223270526
40.258207114967234,10.178868179466516
